"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051438","GO:0051438","regulation of ubiquitin-protein transferase activity","6/1023","26/18860",0.230769230769231,4.25445522219716,3.97676504142107,0.00226486964549011,0.0262060902628362,0.0214477206268201,"ABL1/CDC20/MAD2L1/PLK1/UBE2C/UBE2S",6
"GO:0010569","GO:0010569","regulation of double-strand break repair via homologous recombination","12/1023","86/18860",0.13953488372093,2.57246129714247,3.50015296774617,0.00227639140642019,0.0262060902628362,0.0214477206268201,"ABL1/ACTL6A/ACTR2/CHEK1/FANCB/FUS/PARPBP/PLK1/POLQ/RAD51/RAD51AP1/TIMELESS",12
"GO:0048736","GO:0048736","appendage development","21/1023","196/18860",0.107142857142857,1.97528278173439,3.28694525398481,0.00227755100535329,0.0262060902628362,0.0214477206268201,"AFF3/BCL2L11/COL3A1/COL6A1/DKK1/FGFR2/GDF5/GLI3/HDAC2/IFT140/ITGB4/MAP3K20/MEGF8/NOG/PCSK5/PTCH1/SEMA3C/TMEM107/ZBTB16/ZNF219/ZNF358",21
"GO:0060173","GO:0060173","limb development","21/1023","196/18860",0.107142857142857,1.97528278173439,3.28694525398481,0.00227755100535329,0.0262060902628362,0.0214477206268201,"AFF3/BCL2L11/COL3A1/COL6A1/DKK1/FGFR2/GDF5/GLI3/HDAC2/IFT140/ITGB4/MAP3K20/MEGF8/NOG/PCSK5/PTCH1/SEMA3C/TMEM107/ZBTB16/ZNF219/ZNF358",21
"GO:0072331","GO:0072331","signal transduction by p53 class mediator","21/1023","196/18860",0.107142857142857,1.97528278173439,3.28694525398481,0.00227755100535329,0.0262060902628362,0.0214477206268201,"AURKA/AURKB/BDKRB2/CHEK1/E2F1/EDA2R/FOXM1/FOXO3/GTSE1/HIC1/JMY/MSH2/NDRG1/PAK1IP1/PLA2R1/PLK2/PML/RPS6KA6/SESN2/SGK1/TP53",21
"GO:0150115","GO:0150115","cell-substrate junction organization","14/1023","109/18860",0.128440366972477,2.36792309003022,3.43003817308194,0.00228174121367063,0.0262060902628362,0.0214477206268201,"ABL1/COL16A1/CORO1C/CORO2B/FN1/IQSEC1/ITGB3/ITGB4/KDR/LAMC1/LIMCH1/MMP14/PTPRK/RHOU",14
"GO:0071479","GO:0071479","cellular response to ionizing radiation","11/1023","75/18860",0.146666666666667,2.70394265232975,3.54092107798063,0.00228916203277308,0.0262060902628362,0.0214477206268201,"BLM/BRCA1/CCND2/ECT2/EGR1/MAP3K20/RAD51/RAD51AP1/TNKS1BP1/TP53/XRCC5",11
"GO:0042476","GO:0042476","odontogenesis","16/1023","133/18860",0.120300751879699,2.21786136896493,3.37540439001198,0.00229154165613951,0.0262060902628362,0.0214477206268201,"ACVR2B/APCDD1/ASPN/BCL2L11/COL1A1/COL1A2/CSF1/FAM20A/FGFR2/GLI3/HDAC2/ID3/LAMB1/PDGFRA/TNC/TNFRSF11B",16
"GO:0051384","GO:0051384","response to glucocorticoid","16/1023","133/18860",0.120300751879699,2.21786136896493,3.37540439001198,0.00229154165613951,0.0262060902628362,0.0214477206268201,"ANXA1/ASS1/BCL2L11/CBX3/CCND1/CFLAR/CLDN1/DUSP1/FBXO32/FOXO3/HMGB1/IL6/PCNA/PTGDS/SLIT3/ZFP36L1",16
"GO:0051261","GO:0051261","protein depolymerization","15/1023","121/18860",0.12396694214876,2.28545115241996,3.39712320935681,0.00230738583642884,0.0263301691118027,0.0215492698644836,"ADD3/ARHGEF2/AURKB/CKAP2/DIAPH3/HSPA8/KIF18A/KIF18B/KIF2C/LIMA1/RDX/SPTA1/STMN1/SVIL/TPX2",15
