"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0090232","GO:0090232","positive regulation of spindle checkpoint","9/1023","12/18860",0.75,13.8269794721408,10.6443372760125,7.45264787527272e-10,3.85199603906253e-08,3.15257003516439e-08,"AURKB/BIRC5/CDCA8/DYNC1LI1/INCENP/KNL1/MAD2L1/NDC80/XRCC3",9
"GO:0030174","GO:0030174","regulation of DNA-templated DNA replication initiation","10/1023","16/18860",0.625,11.5224828934506,10.0838856661068,1.25414159723846e-09,6.41925679673897e-08,5.25368053866166e-08,"CDK2/CDT1/GMNC/GMNN/MCM2/MCM3/MCM4/MCM5/MCM6/MCM7",10
"GO:0000281","GO:0000281","mitotic cytokinesis","23/1023","98/18860",0.23469387755102,4.32680990284677,7.9074726515143,1.80818031700993e-09,9.16608329930417e-08,7.50175214516568e-08,"ANLN/AURKB/BIRC5/CDCA8/CENPA/CEP55/CHMP1B/CIT/CKAP2/ECT2/ESPL1/INCENP/IQGAP3/KIF20A/KIF20B/KIF23/KIF4A/NUSAP1/PLK1/RACGAP1/SNX33/STMN1/ZFYVE26",23
"GO:0090307","GO:0090307","mitotic spindle assembly","20/1023","76/18860",0.263157894736842,4.85157174461079,8.05725278694813,2.42528419670966e-09,1.21772364619555e-07,9.96615531058936e-08,"AURKB/BIRC5/CDC20/CDCA8/CHMP1B/INCENP/KIF11/KIF15/KIF23/KIF4A/KIFC1/MYBL2/MZT1/NEK2/PLK1/PRC1/RACGAP1/SMC1A/TPX2/UHRF1",20
"GO:0044771","GO:0044771","meiotic cell cycle phase transition","10/1023","17/18860",0.588235294117647,10.8446897820712,9.72495752429615,2.89731851553814e-09,1.44100596357708e-07,1.17935537191568e-07,"CCNB2/CDC20/CDC25A/CDC25B/CDC25C/KNL1/NDC80/PKMYT1/TTK/ZWINT",10
"GO:0031570","GO:0031570","DNA integrity checkpoint signaling","26/1023","126/18860",0.206349206349206,3.80424832037735,7.56349848057502,3.10544546696616e-09,1.53008490671454e-07,1.25225981004371e-07,"BLM/BRCA1/BRIP1/CCND1/CDC45/CDC6/CDK1/CDK2/CDT1/CHEK1/CLSPN/DTL/E2F1/EME1/FANCD2/FOXN3/MAP3K20/MSH2/ORC1/PLK1/RAD51/RFWD3/TIMELESS/TIPIN/TP53/WDR76",26
"GO:0090329","GO:0090329","regulation of DNA-templated DNA replication","15/1023","43/18860",0.348837209302326,6.43115324285617,8.53861305613138,3.38060967319647e-09,1.65023835158257e-07,1.35059639867762e-07,"CDC7/CDK2/CDT1/DBF4/E2F8/GMNC/GMNN/MCM2/MCM3/MCM4/MCM5/MCM6/MCM7/TIMELESS/TIPIN",15
"GO:1901970","GO:1901970","positive regulation of mitotic sister chromatid separation","11/1023","22/18860",0.5,9.21798631476051,9.23624828209064,4.60537108191063e-09,2.22747856365439e-07,1.82302424575101e-07,"AURKB/BIRC5/CDC20/CDCA8/DLGAP5/ESPL1/INCENP/RB1/SKA1/SKA3/UBE2C",11
"GO:0000910","GO:0000910","cytokinesis","33/1023","195/18860",0.169230769230769,3.11993382961125,7.12626314043229,5.24114160917421e-09,2.5119362330515e-07,2.05583152689044e-07,"ACTR2/ACTR3/ANLN/AURKA/AURKB/BIRC5/CDC25B/CDC6/CDCA8/CENPA/CEP55/CHMP1B/CIT/CKAP2/E2F8/ECT2/ESPL1/INCENP/IQGAP3/KIF14/KIF20A/KIF20B/KIF23/KIF4A/KLHL21/NUSAP1/PLK1/PRC1/RACGAP1/SNX33/STMN1/SVIL/ZFYVE26",33
"GO:0000723","GO:0000723","telomere maintenance","30/1023","166/18860",0.180722891566265,3.33180228244356,7.2265479530668,5.37269076926101e-09,2.55178610230127e-07,2.0884456579612e-07,"ACTL6A/AURKB/BLM/CCNE2/CCT2/CCT4/CCT5/CCT6A/CCT8/CDK2/DKC1/EXO1/FEN1/HNRNPA2B1/HSP90AA1/KLF4/NEK2/NEK7/PCNA/PML/PTGES3/RAD51/RECQL4/SMG6/TCP1/TNKS1BP1/TP53/UCHL5/XRCC3/XRCC5",30
"GO:1901978","GO:1901978","positive regulation of cell cycle checkpoint","10/1023","18/18860",0.555555555555556,10.2422070164006,9.39473827728811,6.20135287648003e-09,2.91906538971453e-07,2.38903622562891e-07,"AURKB/BIRC5/CDCA8/DYNC1LI1/INCENP/KNL1/MAD2L1/MAP3K20/NDC80/XRCC3",10
"GO:2000045","GO:2000045","regulation of G1/S transition of mitotic cell cycle","31/1023","178/18860",0.174157303370787,3.21075927817501,7.09701976268509,7.52444312553279e-09,3.51051895201848e-07,2.87309663451876e-07,"ACTL6A/ADAM17/ADAMTS1/ANXA1/CACNB4/CCND1/CCND2/CCNE2/CDC6/CDK2/CDK7/CDKN2B/CDKN2C/CPSF3/CTDSP2/CUL4B/DDR2/E2F1/EZH2/GPNMB/KIF14/KLF11/KLF4/RB1/RBL1/RDX/RFWD3/RRM1/RRM2/STIL/TP53",31
"GO:0051653","GO:0051653","spindle localization","18/1023","66/18860",0.272727272727273,5.02799253532391,7.85031809125632,8.19926902344877e-09,3.79180230628262e-07,3.10330597664972e-07,"ACTR2/ACTR3/ASPM/CENPA/ESPL1/GPSM2/MAD2L1/MAPRE1/NDC80/NUMA1/NUSAP1/PLK1/SAPCD2/SKA1/SKA2/SKA3/SPAG5/SPDL1",18
"GO:0031055","GO:0031055","chromatin remodeling at centromere","8/1023","11/18860",0.727272727272727,13.4079800941971,9.85801590229366,1.03998586918724e-08,4.64644534097892e-07,3.80276724156869e-07,"CENPA/CENPI/CENPN/CENPW/HJURP/MIS18A/NASP/OIP5",8
"GO:0034080","GO:0034080","CENP-A containing chromatin assembly","8/1023","11/18860",0.727272727272727,13.4079800941971,9.85801590229366,1.03998586918724e-08,4.64644534097892e-07,3.80276724156869e-07,"CENPA/CENPI/CENPN/CENPW/HJURP/MIS18A/NASP/OIP5",8
"GO:0051256","GO:0051256","mitotic spindle midzone assembly","8/1023","11/18860",0.727272727272727,13.4079800941971,9.85801590229366,1.03998586918724e-08,4.64644534097892e-07,3.80276724156869e-07,"AURKB/BIRC5/CDCA8/INCENP/KIF23/KIF4A/PRC1/RACGAP1",8
"GO:0090267","GO:0090267","positive regulation of mitotic cell cycle spindle assembly checkpoint","8/1023","11/18860",0.727272727272727,13.4079800941971,9.85801590229366,1.03998586918724e-08,4.64644534097892e-07,3.80276724156869e-07,"AURKB/BIRC5/CDCA8/DYNC1LI1/INCENP/MAD2L1/NDC80/XRCC3",8
"GO:0044774","GO:0044774","mitotic DNA integrity checkpoint signaling","19/1023","75/18860",0.253333333333333,4.67044639947866,7.62746387253234,1.20467041810933e-08,5.33699365064904e-07,4.3679292736224e-07,"BLM/BRCA1/CCND1/CDC6/CDK1/CDK2/CHEK1/CLSPN/DTL/EME1/FANCD2/FOXN3/MAP3K20/MSH2/ORC1/PLK1/RFWD3/TIPIN/TP53",19
"GO:0061640","GO:0061640","cytoskeleton-dependent cytokinesis","25/1023","126/18860",0.198412698412698,3.65793107728592,7.16885787839928,1.4389971824692e-08,6.32199428831468e-07,5.17407846573793e-07,"ACTR2/ACTR3/ANLN/AURKB/BIRC5/CDCA8/CENPA/CEP55/CHMP1B/CIT/CKAP2/ECT2/ESPL1/INCENP/IQGAP3/KIF20A/KIF20B/KIF23/KIF4A/NUSAP1/PLK1/RACGAP1/SNX33/STMN1/ZFYVE26",25
"GO:0006271","GO:0006271","DNA strand elongation involved in DNA replication","9/1023","15/18860",0.6,11.0615835777126,9.33576989138591,1.46138667537397e-08,6.36729797733187e-07,5.21115613950231e-07,"GINS1/LIG1/MCM3/MCM4/MCM7/PCNA/POLA1/RFC3/RFC4",9
"GO:0062197","GO:0062197","cellular response to chemical stress","45/1023","335/18860",0.134328358208955,2.47647393530879,6.52988181143943,1.79714537081159e-08,7.76602491386777e-07,6.35590929677023e-07,"ABCC1/ABL1/ARHGEF2/BDKRB2/CDK1/CYP1B1/DDR2/DHFR/ECT2/EIF2S1/EZH2/FADS2/FANCD2/FOXO3/FOXP1/GCH1/GDF15/HDAC2/IL6/KLF4/MET/MMP2/MYB/PCNA/PDGFRA/PLA2R1/PML/PNPT1/PPARGC1A/PRR5L/PTPRK/RELB/SCN2A/SESN2/SLC11A2/SLC25A23/SOD2/SOD3/SPHK1/TNFAIP3/TP53/TP53INP1/TRPA1/ZC3H12A/ZFP36L1",45
"GO:2000278","GO:2000278","regulation of DNA biosynthetic process","20/1023","85/18860",0.235294117647059,4.33787591282847,7.38628257819884,1.96075642484816e-08,8.40415274130042e-07,6.87816909324144e-07,"CCNA2/CCT2/CCT4/CCT5/CCT6A/CCT8/DKC1/DUSP1/HSP90AA1/HTR2A/PCNA/PDGFRB/PML/PTGES3/RFC2/RFC3/RFC4/SMG6/TCP1/TP53",20
"GO:0031100","GO:0031100","animal organ regeneration","16/1023","55/18860",0.290909090909091,5.36319203767884,7.76042033293338,2.00836747779553e-08,8.53880108301454e-07,6.98836866849226e-07,"AURKA/CCNA2/CCND1/CLDN1/CXCL12/EZH2/IGF2R/IL6/LPIN1/PCNA/PNPT1/PTCH1/SRSF1/SULF2/TGFBR3/TOP1",16
"GO:1902806","GO:1902806","regulation of cell cycle G1/S phase transition","33/1023","206/18860",0.160194174757282,2.95333542123395,6.75088469698202,2.12145358301189e-08,8.94744263171097e-07,7.32281114675011e-07,"ACTL6A/ADAM17/ADAMTS1/ANXA1/CACNB4/CCND1/CCND2/CCNE2/CDC6/CDK2/CDK7/CDKN2B/CDKN2C/CPSF3/CTDSP2/CUL4B/DDR2/E2F1/EZH2/FAM83D/GPNMB/KIF14/KLF11/KLF4/MN1/RB1/RBL1/RDX/RFWD3/RRM1/RRM2/STIL/TP53",33
"GO:0051338","GO:0051338","regulation of transferase activity","42/1023","304/18860",0.138157894736842,2.54707516592067,6.51241796408611,2.37649118837349e-08,9.94354090881351e-07,8.13804292493143e-07,"ABL1/BLM/CCNE2/CDC20/CDC25A/CDC25C/CDC6/CDKN3/CEMIP/CENPE/CHI3L1/CLSPN/CORO1C/DDR2/DIRAS3/DUSP1/ECT2/EZH2/FBN1/GPRC5A/GPRC5B/HEG1/KIF14/MAD2L1/NEDD9/NEK10/PCNA/PDGFRB/PIM1/PKMYT1/PLK1/PUM3/RB1/RBL1/RFC2/RFC3/RFC4/TLR3/TPX2/UBE2C/UBE2S/XRCC5",42
"GO:0001932","GO:0001932","regulation of protein phosphorylation","49/1023","387/18860",0.126614987080103,2.33427043629594,6.35136207876001,2.89498277429425e-08,1.20175977843144e-06,9.83550301850984e-07,"ARHGEF2/ARRB1/BLM/C3/CCNE2/CDC25A/CDC25C/CDC6/CDKN3/CEMIP/CENPE/CHI3L1/CLIP3/CLSPN/CNOT7/CORO1C/DDR2/DIRAS3/DUSP1/ECT2/EZH2/FAM20A/FAXDC2/FBLN1/FBN1/FN1/GPRC5A/GPRC5B/HEG1/IGFBP3/IL11/IL6/KDR/KIF14/LIMCH1/NEDD9/NEK10/PDGFRB/PIM1/PKMYT1/PRR5L/RB1/RSPO1/SESN2/SPHK1/TLR3/TPX2/XRCC5/ZC3H12A",49
"GO:0042770","GO:0042770","signal transduction in response to DNA damage","32/1023","200/18860",0.16,2.94975562072336,6.63858621933011,3.56565722394615e-08,1.46860506911282e-06,1.20194317113119e-06,"ABL1/BLM/BRCA1/BRIP1/CCND1/CDK1/CDK2/CHEK1/CLSPN/DTL/E2F1/EME1/FANCD2/FOXM1/FOXN3/FOXO3/GTSE1/HIC1/MAP3K20/MSH2/NDRG1/PLA2R1/PLK1/PLK2/PML/RAD51/RFWD3/RPS6KA6/SESN2/TIPIN/TP53/WDR76",32
"GO:0034599","GO:0034599","cellular response to oxidative stress","38/1023","264/18860",0.143939393939394,2.65366272697651,6.48000548213258,3.66896940827427e-08,1.49944238142806e-06,1.22718119987893e-06,"ABCC1/ABL1/CDK1/CYP1B1/DDR2/DHFR/ECT2/EIF2S1/EZH2/FADS2/FANCD2/FOXO3/FOXP1/GCH1/HDAC2/IL6/KLF4/MET/MMP2/MYB/PCNA/PDGFRA/PLA2R1/PML/PNPT1/PPARGC1A/PRR5L/PTPRK/SESN2/SLC11A2/SOD2/SOD3/SPHK1/TNFAIP3/TP53/TP53INP1/TRPA1/ZC3H12A",38
"GO:0007127","GO:0007127","meiosis I","25/1023","132/18860",0.189393939393939,3.49166148286383,6.8796531801392,3.81534684944257e-08,1.54726989155856e-06,1.26632443205386e-06,"AURKA/BCL2L11/BRIP1/CCNB2/CCNE2/CDC25B/CKS2/DMC1/EME1/ESPL1/FANCD2/KNL1/MYBL1/NDC1/NDC80/PLK1/PSMC3IP/PTTG1/RAD21/RAD51/RAD51AP1/RAD54L/TOP2A/TRIP13/ZWINT",25
"GO:0048144","GO:0048144","fibroblast proliferation","23/1023","114/18860",0.201754385964912,3.71953833753494,6.97476445714141,3.8994330312114e-08,1.56929854507989e-06,1.28435323382367e-06,"ABL1/CCNA2/CCNB1/CDC6/CDK1/CKS2/COL3A1/DDR2/DHX9/E2F1/E2F8/FBLN1/FN1/FTH1/ITGB3/MYB/PDGFRA/PML/SOD2/SPHK1/TP53/TP53INP1/ZMIZ1",23
"GO:0051383","GO:0051383","kinetochore organization","10/1023","21/18860",0.476190476190476,8.7790345854862,8.5416676161829,4.30359423714511e-08,1.71882945592644e-06,1.40673307640014e-06,"CENPA/CENPE/CENPF/CENPH/CENPK/CENPW/DLGAP5/NDC80/NUF2/SMC4",10
"GO:0042325","GO:0042325","regulation of phosphorylation","52/1023","431/18860",0.120649651972158,2.22429368151994,6.15757342412148,5.45494318484472e-08,2.16229026093995e-06,1.76967250610831e-06,"ARHGEF2/ARRB1/BLM/C3/CCNE2/CDC25A/CDC25C/CDC6/CDKN3/CEMIP/CENPE/CHI3L1/CLIP3/CLSPN/CNOT7/CORO1C/DDR2/DIRAS3/DUSP1/ECT2/EZH2/FAM20A/FAXDC2/FBLN1/FBN1/FN1/GPRC5A/GPRC5B/HEG1/IGFBP3/IL11/IL6/KCTD20/KDR/KIF14/LIMCH1/MCM7/NEDD9/NEK10/PDGFRB/PIM1/PKMYT1/PRR5L/RB1/RBL1/RSPO1/SESN2/SPHK1/TLR3/TPX2/XRCC5/ZC3H12A",52
"GO:0006979","GO:0006979","response to oxidative stress","50/1023","418/18860",0.119617224880383,2.205259883914,5.9676188166241,1.28826371584645e-07,5.06845247010633e-06,4.14814844560455e-06,"ABCC1/ABL1/ANGPTL7/BTG1/CDK1/COL1A1/COL6A1/CYP1B1/DDR2/DHFR/DUSP1/ECT2/EIF2S1/EZH2/FADS2/FANCD2/FOXO3/FOXP1/GCH1/HDAC2/IL6/KLF4/MET/MMP14/MMP2/MYB/NUDT15/PCNA/PDGFRA/PLA2R1/PML/PNPT1/PPARGC1A/PRR5L/PTPRK/PXDN/RBPMS/RCAN1/SESN2/SLC11A2/SLC23A2/SOD2/SOD3/SPHK1/STC2/TNFAIP3/TP53/TP53INP1/TRPA1/ZC3H12A",50
"GO:0051255","GO:0051255","spindle midzone assembly","8/1023","14/18860",0.571428571428571,10.5348415025834,8.54681185192057,1.63439888768084e-07,6.36341129026507e-06,5.20797517746117e-06,"AURKB/BIRC5/CDCA8/INCENP/KIF23/KIF4A/PRC1/RACGAP1",8
"GO:0007062","GO:0007062","sister chromatid cohesion","16/1023","63/18860",0.253968253968254,4.68215177892597,7.0107411302433,1.64154767730662e-07,6.36341129026507e-06,5.20797517746117e-06,"BUB1/BUB1B/CDC20/CDCA5/ESCO2/ESPL1/FEN1/HASPIN/KIF22/PLK1/RAD21/RB1/SFPQ/SGO1/SGO2/SMC1A",16
"GO:0032465","GO:0032465","regulation of cytokinesis","20/1023","96/18860",0.208333333333333,3.84082763115021,6.68273175358278,1.70998088414434e-07,6.56275900203094e-06,5.37112633761777e-06,"AURKA/AURKB/BIRC5/CDC25B/CDC6/CDCA8/CIT/E2F8/ECT2/INCENP/KIF14/KIF20A/KIF20B/KIF23/KLHL21/PLK1/PRC1/RACGAP1/SVIL/ZFYVE26",20
"GO:0044773","GO:0044773","mitotic DNA damage checkpoint signaling","17/1023","71/18860",0.23943661971831,4.41424696763179,6.90253336317608,1.71786938975772e-07,6.56275900203094e-06,5.37112633761777e-06,"BLM/BRCA1/CCND1/CDK1/CDK2/CHEK1/CLSPN/DTL/EME1/FANCD2/FOXN3/MAP3K20/MSH2/PLK1/RFWD3/TIPIN/TP53",17
"GO:0032200","GO:0032200","telomere organization","30/1023","193/18860",0.155440414507772,2.86569522738669,6.2390480777385,1.82321340294353e-07,6.91509428799876e-06,5.65948636021622e-06,"ACTL6A/AURKB/BLM/CCNE2/CCT2/CCT4/CCT5/CCT6A/CCT8/CDK2/DKC1/EXO1/FEN1/HNRNPA2B1/HSP90AA1/KLF4/NEK2/NEK7/PCNA/PML/PTGES3/RAD51/RECQL4/SMG6/TCP1/TNKS1BP1/TP53/UCHL5/XRCC3/XRCC5",30
"GO:0048146","GO:0048146","positive regulation of fibroblast proliferation","15/1023","57/18860",0.263157894736842,4.85157174461079,6.97425926105544,2.40566091730746e-07,9.05903168288922e-06,7.41413842108516e-06,"ABL1/CCNA2/CCNB1/CDC6/DDR2/DHX9/E2F1/FBLN1/FN1/ITGB3/MYB/PDGFRA/PML/SPHK1/ZMIZ1",15
"GO:0032206","GO:0032206","positive regulation of telomere maintenance","17/1023","74/18860",0.22972972972973,4.23529100948456,6.67802887725205,3.2627067904538e-07,1.21992838292712e-05,9.98419942819718e-06,"ACTL6A/AURKB/CCT2/CCT4/CCT5/CCT6A/CCT8/DKC1/HNRNPA2B1/HSP90AA1/KLF4/NEK2/NEK7/PML/PTGES3/TCP1/UCHL5",17
"GO:0048511","GO:0048511","rhythmic process","39/1023","302/18860",0.129139072847682,2.38080441242159,5.79303688105264,4.48635226376375e-07,1.66563726299736e-05,1.36319925345942e-05,"ADAMTS1/ASS1/CA12/CBX3/CDK1/COL6A1/CRTC1/DHX9/DTL/EGR1/ENOX1/EZH2/FOXO3/FZD4/GPR176/HDAC2/ID1/ID3/ID4/MMP2/NAMPT/NFIL3/NFKB2/NPAS2/PCNA/PDGFRA/PML/PPARGC1A/PTGDS/RELB/RORB/SFPQ/SLIT3/SUV39H1/TIMELESS/TNFAIP6/TOP1/TOP2A/TP53",39
"GO:1903053","GO:1903053","regulation of extracellular matrix organization","17/1023","76/18860",0.223684210526316,4.12383598291918,6.53487403280548,4.90467675096167e-07,1.80821369448041e-05,1.47988737594346e-05,"ABL1/ANGPTL7/CFLAR/COL6A1/DDR2/DPP4/FAP/IL6/ITGB3/LAMA2/LAMB1/LAMC1/LRP1/NID1/PDPN/RB1/TGFBR3",17
"GO:0007098","GO:0007098","centrosome cycle","25/1023","150/18860",0.166666666666667,3.07266210492017,6.10342319585964,4.98268569859528e-07,1.82421659743016e-05,1.492984552525e-05,"AURKA/BRCA1/CCNF/CDK1/CDK2/CHEK1/CHMP1B/HAUS8/KIF11/KIF15/NDC80/NEK2/PCLAF/PDE4DIP/PLK1/PLK2/PLK4/POC1A/RANBP1/SGO1/SSX2IP/STIL/WDR62/XRCC2/XRCC3",25
"GO:1904358","GO:1904358","positive regulation of telomere maintenance via telomere lengthening","10/1023","26/18860",0.384615384615385,7.09075870366193,7.44257168550053,5.05191592149798e-07,1.83680694745775e-05,1.50328881032452e-05,"CCT2/CCT4/CCT5/CCT6A/CCT8/DKC1/HNRNPA2B1/HSP90AA1/PTGES3/TCP1",10
"GO:0048145","GO:0048145","regulation of fibroblast proliferation","19/1023","94/18860",0.202127659574468,3.72641999958404,6.34610232789186,5.67919304762501e-07,2.05073327034788e-05,1.67837147095998e-05,"ABL1/CCNA2/CCNB1/CDC6/DDR2/DHX9/E2F1/FBLN1/FN1/FTH1/ITGB3/MYB/PDGFRA/PML/SOD2/SPHK1/TP53/TP53INP1/ZMIZ1",19
"GO:0051293","GO:0051293","establishment of spindle localization","15/1023","61/18860",0.245901639344262,4.53343589250517,6.61958862177287,6.27292847485011e-07,2.24971965438162e-05,1.84122691145081e-05,"CENPA/ESPL1/GPSM2/MAD2L1/MAPRE1/NDC80/NUMA1/NUSAP1/PLK1/SAPCD2/SKA1/SKA2/SKA3/SPAG5/SPDL1",15
"GO:0031099","GO:0031099","regeneration","29/1023","194/18860",0.149484536082474,2.75589281575314,5.88720931518519,6.72752736005842e-07,2.39645434069108e-05,1.96131825383211e-05,"ADAM17/ANXA1/AURKA/CCNA2/CCNB1/CCND1/CFLAR/CLDN1/COL6A1/CXCL12/DHFR/EPHA4/EZH2/IGF2R/IL6/KLF4/LPIN1/MMP2/PCNA/PNPT1/PTCH1/PTGFRN/RGMA/SRSF1/SULF2/TGFBR3/TNC/TOP1/ULK1",29
"GO:1902808","GO:1902808","positive regulation of cell cycle G1/S phase transition","16/1023","70/18860",0.228571428571429,4.21393660103338,6.45147734307117,7.76591555882757e-07,2.74777898162006e-05,2.24885113921824e-05,"ADAM17/ADAMTS1/ANXA1/CCND1/CCND2/CCNE2/CDC6/CPSF3/CUL4B/DDR2/EZH2/FAM83D/RDX/RRM1/RRM2/STIL",16
"GO:0051294","GO:0051294","establishment of spindle orientation","13/1023","47/18860",0.276595744680851,5.09931157837815,6.73855956102086,8.17447180943721e-07,2.87305435862353e-05,2.35137964539531e-05,"CENPA/GPSM2/MAD2L1/MAPRE1/NDC80/NUMA1/PLK1/SAPCD2/SKA1/SKA2/SKA3/SPAG5/SPDL1",13
"GO:1903405","GO:1903405","protein localization to nuclear body","7/1023","12/18860",0.583333333333333,10.7543173672206,8.0945201619344,8.43112383962861e-07,2.90515587467464e-05,2.37765233014363e-05,"CCT2/CCT4/CCT5/CCT6A/CCT8/DKC1/TCP1",7
"GO:1904867","GO:1904867","protein localization to Cajal body","7/1023","12/18860",0.583333333333333,10.7543173672206,8.0945201619344,8.43112383962861e-07,2.90515587467464e-05,2.37765233014363e-05,"CCT2/CCT4/CCT5/CCT6A/CCT8/DKC1/TCP1",7
"GO:1904872","GO:1904872","regulation of telomerase RNA localization to Cajal body","7/1023","12/18860",0.583333333333333,10.7543173672206,8.0945201619344,8.43112383962861e-07,2.90515587467464e-05,2.37765233014363e-05,"CCT2/CCT4/CCT5/CCT6A/CCT8/DKC1/TCP1",7
"GO:0006403","GO:0006403","RNA localization","30/1023","208/18860",0.144230769230769,2.65903451387322,5.76183246186462,9.4345877831412e-07,3.22981472680003e-05,2.64336126610361e-05,"ALYREF/CCT2/CCT4/CCT5/CCT6A/CCT8/DDX39A/DHX9/DKC1/HNRNPA2B1/HNRNPAB/MAGOH/NDC1/NOP58/NUP107/NUP205/NUP37/NUP50/NUP58/NUP88/NUP93/PEG10/PNPT1/SMG6/SRSF1/SRSF3/SRSF7/SSB/TCP1/ZFP36L1",30
"GO:0000077","GO:0000077","DNA damage checkpoint signaling","21/1023","117/18860",0.179487179487179,3.30902072837557,5.99980935594022,1.16440948442778e-06,3.96049471090534e-05,3.2413680656499e-05,"BLM/BRCA1/BRIP1/CCND1/CDK1/CDK2/CHEK1/CLSPN/DTL/E2F1/EME1/FANCD2/FOXN3/MAP3K20/MSH2/PLK1/RAD51/RFWD3/TIPIN/TP53/WDR76",21
"GO:1900087","GO:1900087","positive regulation of G1/S transition of mitotic cell cycle","14/1023","56/18860",0.25,4.60899315738025,6.47725793688515,1.19332719228941e-06,4.03283394727551e-05,3.30057230849819e-05,"ADAM17/ADAMTS1/ANXA1/CCND1/CCND2/CCNE2/CDC6/CPSF3/CUL4B/DDR2/RDX/RRM1/RRM2/STIL",14
"GO:0070507","GO:0070507","regulation of microtubule cytoskeleton organization","26/1023","168/18860",0.154761904761905,2.85318624028301,5.77806020355586,1.28718758061599e-06,4.32232670382644e-05,3.53750043107271e-05,"ABL1/ARHGEF2/AURKB/BORA/CHMP1B/CKAP2/CLIP3/CYLD/DIAPH3/GPSM2/HAUS8/KIF18A/MAPRE1/MET/NUMA1/PDE4DIP/PLK1/PSRC1/SKA1/SKA2/SKA3/SPAG5/STIL/STMN1/TACC3/TPX2",26
"GO:0010833","GO:0010833","telomere maintenance via telomere lengthening","16/1023","73/18860",0.219178082191781,4.04076112427858,6.23377693250447,1.41602882004583e-06,4.72487591093773e-05,3.86695678438898e-05,"CCT2/CCT4/CCT5/CCT6A/CCT8/DKC1/HNRNPA2B1/HSP90AA1/PML/PTGES3/RAD51/SMG6/TCP1/TNKS1BP1/TP53/XRCC5",16
"GO:0000212","GO:0000212","meiotic spindle organization","9/1023","23/18860",0.391304347826087,7.21407624633431,7.14119459807288,1.60728132989663e-06,5.29599198200939e-05,4.33437248108308e-05,"ASPM/AURKA/CCNB2/ESPL1/NDC80/SKA1/SKA2/SKA3/TUBG1",9
"GO:0032212","GO:0032212","positive regulation of telomere maintenance via telomerase","9/1023","23/18860",0.391304347826087,7.21407624633431,7.14119459807288,1.60728132989663e-06,5.29599198200939e-05,4.33437248108308e-05,"CCT2/CCT4/CCT5/CCT6A/CCT8/DKC1/HSP90AA1/PTGES3/TCP1",9
"GO:0010971","GO:0010971","positive regulation of G2/M transition of mitotic cell cycle","10/1023","29/18860",0.344827586206897,6.35723194121414,6.9141531935583,1.64098034212941e-06,5.3402767677199e-05,4.37061625886189e-05,"CCNB1/CCND1/CDC25A/CDC25B/CDC25C/CDC7/CDK1/CHEK1/DTL/RRM1",10
"GO:0097421","GO:0097421","liver regeneration","10/1023","29/18860",0.344827586206897,6.35723194121414,6.9141531935583,1.64098034212941e-06,5.3402767677199e-05,4.37061625886189e-05,"AURKA/CCND1/CLDN1/EZH2/IL6/PCNA/PNPT1/PTCH1/SRSF1/SULF2",10
"GO:0051347","GO:0051347","positive regulation of transferase activity","25/1023","161/18860",0.15527950310559,2.86272866918028,5.68446487134056,1.92423398568944e-06,6.18468352136026e-05,5.06169989498756e-05,"CDC20/CEMIP/CENPE/CHI3L1/CLSPN/DDR2/ECT2/EZH2/FBN1/GPRC5B/KIF14/NEDD9/NEK10/PCNA/PDGFRB/PIM1/PLK1/RFC2/RFC3/RFC4/TLR3/TPX2/UBE2C/UBE2S/XRCC5",25
"GO:0007143","GO:0007143","female meiotic nuclear division","12/1023","43/18860",0.27906976744186,5.14492259428494,6.51645950641657,1.95200614281874e-06,6.18468352136026e-05,5.06169989498756e-05,"AURKA/CCNB2/CDC25B/NCAPH/NDC80/PLK1/SKA1/SKA2/SKA3/TOP2A/TRIP13/TTK",12
"GO:0036297","GO:0036297","interstrand cross-link repair","12/1023","43/18860",0.27906976744186,5.14492259428494,6.51645950641657,1.95200614281874e-06,6.18468352136026e-05,5.06169989498756e-05,"BRIP1/FANCA/FANCB/FANCD2/FANCG/FANCI/MCM8/NEIL3/RAD51/RAD51AP1/RFWD3/XRCC3",12
"GO:0032204","GO:0032204","regulation of telomere maintenance","20/1023","111/18860",0.18018018018018,3.32179687018397,5.87533855760159,1.95520013780839e-06,6.18468352136026e-05,5.06169989498756e-05,"ACTL6A/AURKB/CCT2/CCT4/CCT5/CCT6A/CCT8/DKC1/HNRNPA2B1/HSP90AA1/KLF4/NEK2/NEK7/PML/PTGES3/SMG6/TCP1/TP53/UCHL5/XRCC5",20
"GO:0071103","GO:0071103","DNA conformation change","8/1023","18/18860",0.444444444444444,8.19376561312045,7.31248986778729,1.9591087785796e-06,6.18468352136026e-05,5.06169989498756e-05,"ABL1/BLM/HMGB1/HMGB2/HMGB3/HNRNPA2B1/TOP1/TOP2A",8
